scaf	length
CM002706.1	34115677
CM002707.1	46286544
CM002708.1	35265442
CM002709.1	31497199
CM002710.1	33908744
CM002711.1	31529174
CM002712.1	31413364
CM002713.1	27946405
CM002714.1	34117797
CM002715.1	32819797
CM002716.1	28875558
CM002717.1	26439574
CM002718.1	33524197
CM002719.1	28338960
CM002720.1	30644713
CM002721.1	33199742
CM002722.1	30788009
CM002723.1	22026651
CM002724.1	28470737
CM002725.1	26385442
CM002726.1	25773841
CM002727.1	25248790
CM002728.1	18084596
